506,哲学王子,吓死宝宝了 还以为安利之书
383,时之精灵,回复 @梦绘缪斯 :你这逻辑也是没sei了
382,天一yasal,抱歉我知识太少，实在是无法叙述出来，毕竟我才初三，但我能模模糊糊的明白你这句话是有问题的，我心里很清楚这种感觉，可无奈知识太少无法叙述出来～～什么都信自己的，及时这方面我不明白，那也要听取多人的意见，网上的，书上的等等，如果来不及听取那么就先听取必须权威高自己信得过的人的话，然后再去了解这方面的，不能如此简单当成话语，意思就是，不能把它当成自己的随口交谈的话～～日，我要吃了我的脑子 知识太少叙述不清楚，全靠你悟***～～我要哭了（/TДT)/
381,天一yasal,你这话，逻辑就有问题～～首先我的不信教的………………不想打字了太长了，你多读这个句子和圣经中的部分就能明白了～～这是个病句～也并不是什么病句～就是逻辑有问题，我第一眼就感觉很违和
380,萌萌歼十姬,为什么总有人把信仰和宗教信仰混在一起呢……
379,平凡的幸福1994,看到最后才知道主角是盲人，和前面剧情里的细节连接上了
378,道人,如果有这么一部电影，他可以是中影投资的，也可以是华谊，反正就是内地电影公司投资的。

影片说的是在国共内战期间，我党一情报人员怀揣一重要文件外加一本限量版带恩格斯注释的《马哲》，要千里迢迢地穿越某敌占区，将其送到西柏坡。

情报人员在路上不小心经过一敌军根据地，被敌军发现该情报人员怀揣重要文件外加一本限量版带恩格斯注释的《马哲》的事实，并带兵堵击我情报人员。我情报人员此时英勇非常，见神杀神，见佛杀佛，敌军都是一群废材，身后十几米都无法打中我情报人员。

然后不幸的是，最后我情报人员终于在近达半米的距离里被敌特务头子用手枪打中腹部，然后抢走重要文件和那本限量版《马哲》扬长而去。但是我方英勇的情报人员中枪依然不死，仍然步伐坚定地走向了西柏坡。不知道走了多远之后，我情报人员终于到了西柏坡，为中央各位领导背出了那重要文件和限量版带恩格斯注释的《马哲》的全部内容，然后恋恋不舍的从上衣口袋里掏出党费，然后恋恋不舍的死去。

这部电影就叫《革命之书》吧。

好吧，我相信这样一部电影上映之后，一群***肯定会大骂：

啊……GCD真是光辉伟大啊，入党了连子弹都打不中，打中了也死不了。

中国的主旋律影片就喜欢意淫，中国电影没希望了！

垃圾片，这样的片子也好意思拍出来。

……

反正就是诸如此类，噼里啪啦的。

OK，老美同样也拍了这样一部电影，情报人员成了一个牛逼哄哄的盲人，敌方人员成了一群末日黑帮，重要文件和限量版带恩格斯注释的《马哲》成了《圣经》……好家伙，这群***神棍立刻觉得高尚起来，一下子便觉得这是信仰了。

《艾利之书》就是一个加强版的老美交党费，别以为有多高尚。信仰真是一块遮羞布，在这块布下，什么人都可以胡来，什么人都可以掩饰自己的***。
                                                                            ——转自豆瓣影评，原作者陈赖汉
377,艾鲁佳,回复 @梦绘缪斯：大部分中国人都是以脚踏实地努力工作作为自己的行为准则 别自己一天到晚混迹在二次元就都以为别人没有努力生活 
376,JのWindsor,...突然好想买部圣经看看...
375,小摇滚rock,杀人剑瞬间20层
374,石头大军,我不觉得有了信仰的人就变得多高尚，也没觉得没有信仰的人有多迷惘，我在英国一年多，跑着跳着去信仰上帝的几个同学都是众人眼中的奇葩，人是好人，但性格上固执乖僻，没看出来信了上帝对他们有什么帮助，反而越发孤僻，如果不能令你变得更积极的面对生活，那真没必要去信
373,梦绘缪斯,摘自百度 …… 你也真是6。只提一提你知道的，那么多土鳖去扫荡全世界的奢侈品,这就是心灵空虚的一种体现。50-70年代的中国人信仰“党”和“领袖”，虽然穷，但精神不空虚；至于现在么……你现在信仰的是什么？说难听点，你信仰的是你自己。
371,铲屎喵奴,　　宗教教义都是随人们需求变化而不断变化，崇拜上帝的犹太教衍生出天主教、东正教、伊斯兰教、新教等等教派，相互之间打来打去，到底该谁才是对的？
　　佛教最初不过是追求自身修行，后来演变成普度众生，无非是骗些愚夫愚妇钱财而已。
　　道教前身不过是道家文化研究会这样一个学术组织，结果还是演变成宗教，把老子这么个无神论者奉为神，真是滑天下之大稽。
　　宗教不过是销售精神商品，别把他们看得多伟大正确，被他们的教义感染到了，只能说明你精神空虚，需要这种精神商品而已。
　　宗教不等于信仰，只要坚持自己的想法，拥有足够的判断力，做该做的事，不做不该做的事，就是有信仰的人。宗教只会让人盲从，掌握宗教的人用所谓的“神”来操纵你的思想，让你去做他们希望你做的事。
370,ch892124503,一部洗脑片
369,麋麋怹,
368,果冻不甜,吃人使得两位老人背离了主的道 堕落了 也癫狂了  发抖是一种表现  整部电影充斥着宗教训诫元素
367,玻璃萝莉,吃人真的会导致发抖还是别的什么原因啊？？？
366,小鸟の爱子,挺好看的~
365,甜豆角,中国信仰是祖先崇拜哦~
364,染紅de黑玫瑰, 已经举报
363,小米渣啦啦啦,回复 @砸寶馬:思想就是信仰 不错的见解
362,东娜娜,不bb，这是一部好电影
361,黄鹤老板,已经举报
360,繁华弥补,不错， 好看！！！
359,艾鲁佳,信仰指对某种主张、主义、宗教或对某人、信奉和尊敬，并把它奉为自己的行为准则；信仰带有情感体验色彩，特别体现在宗教信仰上，极致甚至会丧失理智。——摘自百度
所以下面的某些小朋友们别动不动就说中国人没有信仰 请把你们的语文学学好再来讨论什么是信仰

358,脉咖酱,弹幕真是啧啧( ´_ゝ｀)
357,野生的提莫酱,(〜￣△￣)〜不错的电影
356,诸星落,好像看过 忘记了 那就再看一遍
355,涮涮,回复 @蛋蛋的柠檬味 :你说的这些其实更多的是哲学上的思想，但是你有一句说的很对，信仰的有无不会决定一个人的好坏，用信仰的有无来否定事物本身就是伪命题，其实大家也可以质疑现如今所相信的科学是否真的就值得相信呢，毕竟真正存在的并不会因为我们的无知就会被掩盖。
354,霜叶零,不是我针对在座的辣鸡  而是你们全是辣鸡↓
353,蛋蛋的柠檬味,你这算黑吗？？现在除了中国？？其他国家不是这样的吗？？华尔街开在哪恐怕谁都清楚吧？？拜金主义，消费主义这些名词不是中国首先出现的吧？？为啥说的好像就因为中国没有信仰，所以这些社会问题就会出现？？一个心理社会科学的课题就这么轻松的给你解决啦？？
352,蛋蛋的柠檬味,回复 @涮涮 :我同意信仰的多样性，但我不同意人有没有信仰会决定一个人的好坏，因为信仰本身属于个人问题，跟有没有梦想啊是一样的东西。用信仰问题来肯定或者否定一个人或者一个国家是一件很奇怪的事情。至于我有信仰？？我相信科学，但是科学精神本义是怀疑一切。所以我不觉得我信仰一些什么，相反我更倾向于去质疑些什么。
349,徘徊精灵,中国信仰金钱，有钱有身份，没钱没地位。
348,雨丝汪泊,边吃饭边看真香
347,涮涮,回复 @咖喱吃不厌 :马哲不算是信仰，是一种科学的认识自然认识社会的相对真理，很有用的。大学时候会学到的(´；ω；`)
346,涮涮,回复 @蛋蛋的柠檬味 :如果楼上说的信仰是哲学方面，说的还是比较中肯的。信仰分为原始、神学、政治信仰这几种都不是特别可取的。神学信仰其实没有特别多的理论依据。 个人观点(｀・ω・´) 其实你也是有信仰的只是你不知道罢了
345,目暮十三,一帮伪信者与无信者和泛信者之间的争论毫无意义，不管多好，中国没有信仰就是现状。无人能该改变，誓言就是随口撒的谎，一切以金钱为准绳，我可以给你一切承诺，但是钱免谈。
没啥意义，涉及信仰就容易开战，十字军为这事跟绿绿干了好几年
344,圣光の补完♂,别把圣经什么的放在心上 自己的信仰是什么 那本书就是什么 把这片子理解为一种对自己信仰的坚持比较好
若主角信仰道教 主角就是用飞剑一路杀过去
如果是佛教 就是从天而降的掌法


343,伊藤诚诚X,回复 @魁杓 :信仰可不是专门为神和宗教准备的词语，能成为信仰的东西有很多
342,艾鲁佳,别说梵蒂冈了 你画个安拉试试 分分钟被宰╮(￣▽￣)╭ 深思就在心里吧 (｀・ω・´)
341,艾鲁佳, 高仿球╮(￣▽￣)╭
340,何健,回复 @魁杓 :你觉得什么是信仰？ 一定是信神才叫信仰吗？
339,碳烤小强,宗教信仰我不知道是什么，但是人必须要有信仰，没有信仰就只能随波逐流
338,不完全变态,宗教片。。。。
337,咖喱吃不厌,好吧，把马哲当做信仰我也是服了(〜￣△￣)〜就算西方国家以前用宗教来实行过统治，到对于现在这个社会而言，这两种完全是不同的东西呀「仅个人看法」
336,蛋蛋的柠檬味,观点漏洞真高，我一生爱好和平，善良有爱，遵守秩序？？然后呢，就因为我没人信仰，所以我是个恐怖的人罗？？所以我比一个有信仰的杀人犯还恐怖罗？？有信仰的政府？？这个世界上有那个政府比纳粹德国有信仰？？有谁比日本军国政府信仰天王来的坚定？？然后呢？？有那个政府比他们恐怖？？
335,抹茶绿字幕组www,这名字2333333333333
334,洋芋不好吃,开头就一群神经病讨论猫肉的，都举报了，看个电影一群神经病干嘛，犯病了快吃药
333,闪瞎你狗眼！,前半集很有味道，后半集神棍得恶心
332,黑锅王,回复 @幽蓝飘郁 :制杖这一票也还给你╮(￣▽￣)╭
331,黑锅王,回复 @幽蓝飘郁 :那我们再扯扯鳖，到底是何种理由让你认为我指的是狭义的钱，而不是你们口中所说的呢？╮(￣▽￣)╭
330,稻草王,我记得有个悖论就是，上帝无所不能，那他能制造一个自己也搬不动的石头吗
329,柚子木字幂组,这类片子很奇怪，沉闷的色调，看的过程中并没有大片那种高潮迭起、惊心动魄的地方，但就是想静下心来继续看下去，难道我被传教成功了？（￣▽￣）
328,lameslamer,看了评论再看～
327,魁杓,信仰指对某种主张、主义、宗教或对某人、信奉和尊敬，并把它奉为自己的行为准则，总觉得是偏激一类的词语，约翰一开始没有信仰，他只是呆板的服从命令而已，并没有信上帝，不然也不会质疑感情的存在是否真的有益，在后面也没有，他是为自己的家人和爱上的女人而战，并不是什么名族大义（这个我先打自己一耳光）。v的话我就不说了。说起信仰，康斯坦丁怎么样，自杀的人不能上天堂，所以一直为上帝办事，并不是信上帝，只是不想下地狱而已。
326,神圣彦女王,我信仰科学
325,小天使的悲伤,不用看了
324,GoodLava,有字幕字幕组在看这个。
323,糸此方,发现骚受在看过来瞅瞅的我( •̀∀•́ )
322,苍天挠过谁,没有信仰的人类是恐怖的  没有信仰的ZF和国家更是恐怖  不是不信神就是科学  也不是信神就是迷信  信仰和科学可以共存  没了信仰就是没了底线  没了科学就是一群原始人  马哲那玩意算不上信仰（没有撕逼意向，单纯个人观点）
321,幽蓝飘郁,（/TДT)/我等面条神教届时该如何向世人传递福音呢？教徒们快快想办法！RAmen！！！
320,幽蓝飘郁,回复 @黑锅王 :我还是投你是制杖一票。钱就是力量。（你要是认为是狭义的钱，我也没办法）
318,ttrr,回复 @迹墨的寞寂 :现在很多人评论喜欢装逼，特别是带政治宗教色彩的就喷的更开心了。电影没看懂就高谈阔论。我很久之前就看了，不知道从哪看出来了主角是盲人，我只看出来主角懂盲文......还有后边楼有些人说这部片吹鼓基督救世论.....貌似电影主题是说信仰和宗教文化是人类文明遗留的宝贵财富，可以用来当作人类复习时期的思想精神寄托。之前没有后边找到的聚居地不是也在复兴中吗。看有些人评论就像是看喷子在说什么fps都是***的一样。。。。找到你这样评价比较客观的我就完全忍不住把所有吐槽都跟你说了。有句话说的好关弹幕保智商，现在评论质量也差了
317,砸寶馬,回复 @魁杓 :我到是感覺，思想就是信仰
316,阪本制药,（￣▽￣）反正保护文化人人有责
315,想晚一点睡,（￣へ￣）
314,问题不是距离,233(;¬_¬)
313,果真茶,其实就是安利之书，对，你没看错(°∀°)ﾉ
312,Rin鳶臻,神他妈的传教片= = 圣经这么叼？？？
311,恶魔泰瑞尔,回复 @Mr丶小柒 :宗教信仰和崇高理念还是有区别的啦，又不是DND里，善神就是代表了善，其宗教的教义就是为了神的理念而服务。现实中的宗教或许开始因为崇高理念产生，但在其演化过程了就变成了某种道具。在DND里，圣武士即使不信仰神而信仰崇高理念，也能获得神术来坚持自己的道路，但现实中人都是肉长的。当然那些剥开教义中的迷惑性信息找到崇高理念并坚持的人我很尊敬。
310,魁杓,撕裂的末日是因为感情的存在所以愤怒，去找神父报杀妻夺爱之仇。v是为了拯救腐败的社会，唤醒无知的人内心的良知。没看到那里来的信仰。
309,白菓菓,回复 @疯一样的胖次君:给你的头像点个
308,Mr丶小柒,←_←就是你们，别喷我。→_→还有你们，拜托。
307,Mr丶小柒,看见好多人喷什么宗教信仰的←_←我只想说一句:我们的共产党先辈也是有信仰的好吗？翻草地，爬雪山，靠的是什么，那也是一种信仰好吗？没有共产党的革命会有今天吗？革命精神不就是革命信仰吗？所以←_←大家别喷我！
306,司德琪,哎信仰有屁用啊他能给你钱啊
305,Sein灬JC,不知道有什么好撕的，看看撕裂的末日，v字仇杀队，感受一下什么叫信仰，感受一下信仰的意义
304,叔父さんはすごいです,我只说真没人知道 tlw的b么？
303,小小陌痕,弱弱问下那个瞎了的女的叫什么
302,涮涮,如果有这么一部电影，他可以是中影投资的，也可以是华谊，反正就是内地电影公司投资的。 
　　 
